BFSNr	SiedlungNr	SiedlungName	qualifier	GebäudeAnz	WohnungenAnz	EinwAnz
40	40013	Steinigen Buck/Grund		S	1	1	4
40	40014	Ruppen		S	3	4	11
40	40015	Webhusen		S	1	1	5
40	40016	Ohrenberg		S	4	4	6
40	40017	Weierhof		S	1	1	4
40	40019	Steighof/Stocken		S	1	1	2
40	40020	Quardi		S	1	1	2
40	40021	Ludi		S	1	1	4
40	40022	Ziel		S	1	1	2
40	40023	Ammenstieg		S	1	1	2
40	40024	Sommerau		S	1	1	2
40	40025	Bruggbüel		S	1	1	3
40	40026	Eichhof		S	1	1	1
40	40027	Krähenbuck		S	1	1	4
40	40028	Sunnacker		S	1	2	7
40	40029	Chrummenrüti		S	1	1	3
40	40030	Halde		S	1	2	5
40	40399	Personen ohne Siedlungs-Nr. 		R	0	0	9
41	41001	Truttikon (Dorf)		S	114	127	363
41	41002	Grüthof		S	1	1	2
41	41003	Bächi		S	1	1	6
41	41004	Husemerbüel		S	1	2	5
41	41005	Genter		S	1	2	10
41	41006	Eichi		S	1	2	4
41	41007	Hertlibuck		S	1	3	9
41	41008	Chalchbüel		S	1	2	8
41	41009	Riedhof		S	1	2	4
41	41010	Sunnehof		S	1	1	3
41	41011	Mattenhof		S	1	1	3
41	41012	Waldhof		S	2	3	6
41	41399	Personen ohne Siedlungs-Nr. 		R	0	0	12
42	42001	Unterstammheim (Dorf)		S	221	261	697
42	42002	Bühlhof		S	1	1	4
42	42003	Furtmühle		S	2	2	8
42	42004	Steigbühl		S	2	2	8
