Conrads		
Conradt		
Conradum		
Conrat		
Conrath		
Consilium		
Constantzen	*	Konstanz
Contra		
Copia		
Cor		
Corinth		
Corodi		
Corodinen		
Corradi		
Corrodi		
Costantz		
Costantzen		
Crauwer		
Credere		
Cristens		
Cronenwirth		
Cronnen		
Crützer		
Cu[…]		
Cuentz		
Culpandus		
Cunctos		
Cunrad		
Cunradt		
Cunraht		
Cunrath		
Cuntz		
Cunz		
Curand		
Curi		
D[en]		
D[ie]		
D[ürnten]	113	
Da		
Dâ		
Daa		
Daby		
Dacheltzen	158009	Dachsleren
Dachsen	25	
Dachsheim		
Dachßen	25	
Dagelschwang	176020	Tagelswangen
Dagelschwangen	176020	
Dägerfelden	4320	Tegerfelden
Dagersamen	176020	
Dagerschwang	176020	
Dagerschwangen	176020	
Dägerst	214	Dägerlen
Däingen		
Dallmannin		
Dällwyl		ev. Dällikon 84001
Dalmannin		
Dalmazer		
Damahlen		
Dämßeler		
Danach		
Dändliker		
Dändlikeren		
Dändlikers		
Dängen		
Daniel		
Dänlikers		
Danner		
Danzer		
Dänzler		
Darauff		
Darbei		
Daruff		
Dättliken	215	
Datum		
Dav[id]		
David		
Davidica		
Davids		
Dazenburen		ev. Sellenbüren 13003
Debis		
Debiß		
Debißen		
Debus		
Dec[ember]		
December		
Decenber		
Decker		
Deckers		
Deebrunner		
Deeg		
Deies		
Dellikern	84	
Demnach		
Den		
Den10		
Dendlicken	153013	Dändlikon
Dendliker		
Dendlikers		
Dene		
Dentliker		
Dentzlern		
Dënzler		
Denzlerin		
Derenhalben		
Dernebet		
Derselb		
Derwegen		
Desgl[eichen]		
Desgleichen		
Desglichen		
Desglychen		
Deshalben		
Deßgleich		
Deßglichen		
desTüelers		
Deswëgen		
Detwyl	4021	Dättwil
Deus		
Dickelm[an]		
Dickelman		
Dickelmann		
Dickelmann]		
Dickelmanns		
Dickelmans		
Dickerlin		
Diderlin		
Diderlis		
Diebendorfferin		
Dielstorff	86	
Dienerin		
Dieners		
Diesenh[ofen]	4545	
Diesenhoffen	4545	
Dießen		
Dießenbach		
Dießenhoffen	4545	
Dießes		
Dieter		
Dieterich		
Dieterichs		
Diethegen		
Diethelm		
Diethelmen		
Dietiken	243	
Dietikhen	243	
Dietikon	243	
Dietlicker		
Dietliker		
Dietrich		
Dietrichen		
Dietspach		
Dieweilen		
Diewyl	*	
Diggelm[ans]		
Diggelman		
Diggelmann		
Diggelmans		
Dikelm[an]		
Dikelman		
Dikelmann		
Dikelmanns		
Dikelmans		
Dise		
Disenbach		
Disenh[ofen]	4545	
Disese		
Diß		
Dißer		
Dißes		
Dito		
Döbis		
Dödel		
Dodels		
Dödels		
Dödli		
Dokument		
Dom[inica]		
Domahl		
Domahls		
Döndler		
Donstag		
Dorenhanß		
Dorffers		
Dörfflingen	*	
Dorffmeyern		
Dorfmeier		
Dörlerse		
Dorli		
Dornäbend		
Dorothe		
Dorothea		
Dorotheli		
Dorren		
Dorrenhanßen		
Dorumbe		
Doryn		
Dreüte		
Dreüwte		
Drey		
Drittens		
Dritter		
Drothin		
Drü		
Dryne		
Ds		
Düben-Dorff	191	
Dübendorff	191	
Dübenfreülin		
Dückli		
Dudli		
Dumbelen		
Dunckel		
Dunckel-Wys		
Dunckelwys		
Dünckis		
Dunkels		
Dünki		
Dünkin		
Dünkinen		
Dünkis		
Duntzenbacheri		
Dupf		
Dupff		
Dups		
Dupsen		
Dupsinen		
Dupß		
Dupßen		
Dupßin		
Durenda		
Durlach		
Dürler-see	*	
Dürlersee	*	
Dürmintz		
Dürnten	113	
Dürst[alen]	173026	
Dürstal[en]	173026	
Dürstalen	173026	
Dürstali	173026	
Dürstel[er]		
Dürstelen	173026	
Dürsteler		
Dürsteleren		
Dürsteleri		
Dürstelerin		
Dürstelers		
Dürsteli		
Dürstelis		
Dürstels		
Dürten	113	
Durthaler		
Duthaleri		
Dutweilerin		
dWängi		
E[uer]		
Eberhard		
Eberharden		
Eberhards		
Eberhardt		
Eberhardten		
Eberhart		
Eberhart]		
Eberharten		
Eberhartin		
Eberl[in]		
Eberlein		
Eberlein]		
Eberleinen		
Eberleins		
Eberlen		
Eberli		
Eberlin		
Eberlinen		
Eberlins		
Eblin		
Ebnetingen	*	
Ecclesia		
Ecclesiæ		
ecclesiæqueTig[urinæ]		
Echertdingen		
Edicken	11309	
Edickon	11309	
Edicon	11309	
Edlibach	1704	
Edlibachen	1704	
Efferätticken	17401	
Efficax	17401	
Effingeren	17401	
Egg		
Egger		
Eggers		
Eggk		
Eggli		
Egglihans		
Egglin		
Egglins		
Eggstein		
Eggwiesern		
Egk		
Egl[is]		
Egli		
Eglin		
Eglinen		
Eglins		
Eglis		
Eglisau	55001	
Eglisauw	55001	
Eglisaw	55001	
Eglisch		
Eglischen		
Egliß		
Ego		
Egyptenland	*	
Ehaumer		
Ehegaumer		
Ehegaumer-dienst		
Ehegaumerwahl		
Ehesachen		
Ehgaumerwahl		
Ehrender		
Ehrenspärger		
Ehrensperger		
Ehrhard		
Ehrhart		
Ehrism[ans]		
Ehrisman		
Ehrismans		
Ehrli		
Ehrlibach	*	
Ehrlin		
Ei[d]gnosch[afft]	*	
Eich-Schür	*	
Eichbühel	*	
Eichholtz	*	
Eichholtzer		
Eichholtzers		
Eichholz	*	
Eigenheer		
Eigenher		
Einraumung		
Einsidlen	1301	
Ek		
Eli		
Elias		
Elisabeth		
Elisenbeth		
Elligkon	218001	
Ellikon	218001	
Els		
Elsas	*	
Elsaßer		
Elsb[eth]		
Elsbeht		
Elsbehta		
Elsbet		
Elsbeten		
Elsbeth		
Elsbetha		
ElsbethaTrüeb		
Elsbethen		
Elsbethli		
Elsbethli]		
Elseli		
Elsen		
Elsi		
Elsin		
Elß		
Elß[beth]		
Elßb[eth]		
Elßb[etha]		
Elßbet		
Elßbeth		
Elßbetha		
Elßbethen		
Elßbethli		
Elßbetli		
Elßbetta		
Elßbettli		
Elßbetz		
Elßeli		
Elßelins		
Elßen		
Elßi		
Elßinger		
Embrach		
Emensberger	56001	
Empfehle		
Empfelle		
Empfellen		
Empfieng		
Engel		
Engelb[ergers]		
Engelberg	1402	
Engelberger		
Engelbergers		
Enis		
Entdekte		
Entheligung		
Enthielte		
Entlichen		
Entschlos		
Entschloße		
Entschluge		
Entschlugen		
Entschuldigent		
Entstuhnde		
Eph		
Epistola		
Epprächt		
Epprächten		
Epprecht		
Epprechten		
Eprächt		
Eprecht		
Erbotte		
Erckantnuß		
Erdbrunst		
Ergo		
Erhard		
Erhart		
Erhielte		
Erism[an]		
Erisman		
Erismann		
Erismannin		
Erismans		
Erißman		
Erkandtnus		
Erkehnt		
Erkhendt		
Erkhënte		
Erklährte		
Erli		
Ermahnete		
Ermeldte		
Ernd-predig		
Ernd-predigen		
Erneuwert		
Erni		
Ernii		
Ernio		
Ernis		
Ernst		
Ernsten		
Erscheinung		
Erschien		
Erschreklich		
Erschrockenlich		
Erschynend		
Erstlich		
Erstlichen		
Ersuche		
Ertzinger		
Ertzingeren		
Ertzingeri		
Ertzingerin		
Ertzingers		
Erwarthe		
Erzenbühel		
Erzinger		
Erzingeri		
Erzingerin		
Esch		
Escher		
